id,Title,Description,Objective,Sector,Coordination Bodies,Status,Collaboration Type,Aid Type Categories,Finance Types,Total Commitment,Total Disbursement,Total Commitment USD,Total Disbursement USD,Transaction count,Filtered Commitment USD,Filtered Disbursement USD,Filtered Transaction count,Reporting Organisation,Financing,Extending,Implementing,Partner Ministry,State/Region,Township,Planned Start date,Planned End date,Actual Start date,Actual End date,Contact Name,Contact Phone,Contact Email,IATI Identifer,IATI Linked,IATI Sync
MM-FERD-ID2640,Supporting Transition by Reducing Food Insecurity and Undernutrition among the Most Vulnerable,"1.Prepare for and respond to recurrent natural disasters and other shocks in support of Government;
2.Assist post-disaster recovery by rehabilitating productive assets to improve household food security and create socio-economic opportunities for the most vulnerable groups;
3.Address undernutrition among children and pregnant and lactating women (PLW), and support at-risk groups such as people living with HIV (PLHIV) and tuberculosis (TB); 
4.Improve access to, and enrollment and attendance at, primary schools; and
5.Improve the sustainability of responses to food insecurity and undernutrition through knowledge-sharing and capacity development.","1.Prepare for and respond to recurrent natural disasters and other shocks in support of Government;
2.Assist post-disaster recovery by rehabilitating productive assets to improve household food security and create socio-economic opportunities for the most vulnerable groups;
3.Address undernutrition among children and pregnant and lactating women (PLW), and support at-risk groups such as people living with HIV (PLHIV) and tuberculosis (TB); 
4.Improve access to, and enrollment and attendance at, primary schools; and
5.Improve the sustainability of responses to food insecurity and undernutrition through knowledge-sharing and capacity development.","Basic nutrition(16.60%),Health education(16.60%),Food aid/Food security programmes(16.60%),Emergency food aid(16.60%),Reconstruction relief and rehabilitation(17.00%),Disaster prevention and preparedness(16.60%)","Agriculture and Rural Development Sector Coordination Group(20.00%),Job Creation Sector Coordination Group(20.00%),Health Sector Coordination Group(20.00%),Transport and ICT Sector Coordination Group(20.00%),Social Protection and Disaster Management Sector Coordination Group(20.00%)",Implementation,Multilateral,Project-type interventions,Grant,341402438,6520446226,341402438,182294031.7,6241,341402438,182294031.7,79,World Food Programme,"XX - Multiple Donors| UK - Department for International Development| Global Fund to Fight AIDS, Tuberculosis and Malaria| Embassy of Sweden / Section Office Yangon| Government of Korea| U.S. Agency for International Development| Government of Italy| XX - Other Private Grants/Donations| Government of Germany| Government of Denmark| Humanitarian Aid Office of the European Commission| Government of the Czech Republic| XX - Japanese NGOs| Government of Switzerland| World Food Programme| DFAT - Australian Aid Program| Government of Luxembourg| Swiss Agency for Development and Cooperation| New Zealand Aid Programme| Government of Japan| Central Emergency Response Fund| Global Affairs Canada| Government of Norway| Government of France",World Food Programme,XX - Local NGOs and Civil Society Groups,"Ministry of Education| Ministry of Social Welfare, Relief and Resettlement| Ministry of Health and Sports| Ministry of Border Affairs| Ministry of Agriculture, Livestock and Irrigation",Yangon Region - 2.00% | Shan State - 15.00% | Sagaing Region - 5.00% | Mon State - 5.00% | Rakhine State - 30.00% | Tanintharyi Region - 3.00% | Kayin State - 5.00% | Magway Region - 10.00% | Kachin State - 15.00% | Chin State - 10.00%,,2013-01-01,2017-12-31,2013-01-01,,Dom Scalpelli,+95 1 230 5971~6,WFP.Yangon@wfp.org,,False,
MM-FERD-ID1048,Three Millennium Development Goal Fund (3MDG),,,Basic health care,Health Sector Coordination Group,Implementation,Multilateral,Core contributions and pooled programmes and funds,Grant,18800603.77,374664844,18800603.77,262144172.5,2025,18800603.77,262144172.5,45,United Nations Office for Project Services,UK - Department for International Development| DFAT - Australian Aid Program| European Union| Embassy of Sweden / Section Office Yangon| Swiss Agency for Development and Cooperation| Three Diseases Fund| XX - Swedish NGOs| Government of Denmark| U.S. Agency for International Development,United Nations Office for Project Services,The Three Millennium Development Goal Fund,Ministry of Health and Sports,Nation-wide - 100.00%,,2013-01-01,2018-12-31,2013-01-01,2018-12-31,Oren Ginzburg,95 1 657 278,orenng@unops.org,,False,
MM-FERD-ID1234,Support for Myanmar's Reforms for Inclusive Growth,"The policy-based loan will support Myanmar's re-engagement with global markets through key reform priorities aimed at generating broad-based, sustainable and inclusive economic growth.

The reform priorities include transformational changes to macroeconomic policy institutions, first steps to enhance transparency and integrity in tax administration and public financial management (PFM) for better service delivery, business climate reforms, and trade liberalisation.

Reform priorities also include efforts to provide the foundation for promoting inclusive growth through human capital development and initiating market-based incentives for raising farm productivity and incomes.",,Public sector financial management,Macroeconomic Management Sector Coordination Group,Completion,Multilateral,Project-type interventions,Loan,575500000,511529441.3,575500000,511529441.3,121,575500000,511529441.3,11,Asian Development Bank,Asian Development Bank,Ministry of Planning and Finance,Ministry of Education| Ministry of Commerce| Ministry of Planning and Finance| Ministry of Industry,Ministry of Planning and Finance,Nation-wide - 100.00%,,2013-01-14,2013-01-18,2013-01-27,,Mr. Kelly Bird,+63 2 632 4444,kbird@adb.org,46004-46372-001-LN2984,True,
MM-FERD-ID6903,National Electrification Project,The project development objective is to help increase access to electricity in Myanmar.,The project development objective is to help increase access to electricity in Myanmar.,"Power generation/renewable sources(12.00%),Electrical transmission/ distribution(88.00%)",Energy and Electric Power Sector Coordination Group,Pipeline/identification,Multilateral,Budget support,Loan,400000000,73261393,400000000,73261393,576,400000000,73261393,24,World Bank,World Bank,Ministry of Planning and Finance,Ministry of Planning and Finance,"Ministry of Electricity and Energy| Ministry of Agriculture, Livestock and Irrigation",Nation-wide - 100.00%,,2015-05-28,2021-09-30,2015-09-16,,Dejan R Ostojic,654824,dostojic@worldbank.org,44000-P152936,True,
MM-FERD-ID1,Social and Economic Development Support Program,"Program Loan is rendered in light of supporting the strengthening of the base of comprehensive economic growth and Myanmar's reform, through the assistance for the new Myanmar Government's reforms in various fields including Macroeconomic management, Education and Health, Governance, and among others.","Since March 2011, after the inauguration of the new administration, Myanmar has been undertaking political and economic reforms, and is also making efforts to join the international community. 

Comprehensive agreement was made toward resolving Myanmar’s debt issue during “Japan-Myanmar Summit” on April 2012, leading to the restart of ODA Loans as “Social and Economic Development Support Program” for the first time in 26 years. 

JICA plans to assist the country in conducting socioeconomic reforms to enable Myanmar’s citizens to enjoy the benefits from the change.",Multisector aid for basic social services,None,Completion,Bilateral,Project-type interventions,Loan,1.9888E+11,1.9888E+11,2237549160,2237549160,4,2237549160,2237549160,2,Government of Japan,Government of Japan,,Ministry of Planning and Finance,Ministry of Planning and Finance,Nation-wide - 100.00%,,2013-01-30,2013-05-26,2013-01-15,,Embassy of Japan,01-549644~8,eco@yn.mofa.go.jp,,False,
MM-FERD-ID1224,Power Distribution Improvement Project,"The project will rehabilitate the distribution network in five townships in Yangon region (Hlaingthaya, Insein, Kamayut, Mayangone, and Mingaladon), four districts in Mandalay region (Kyaukse, Meikhtila, Myingyen, and Yameethin), five districts in Sagaing region (Kalay, Katha, Monywa, Sagaing, and Shwebo), and two townships in Magway region (Aungland and Magway). These areas were selected in consultation with the Ministry of Electric Power (MOEP), Yangon City Electricity Supply Board (YESB), and Electricity Supply Enterprise (ESE). The project will help reduce system losses and subsequently increase the electricity supply to urban and rural consumers to support inclusive and sustainable economic development","ADB will undertake rehabilitation of distribution networks in Yangon, Mandalay, Sagaing, and Magway regions.",Power generation/non-renewable sources,Energy and Electric Power Sector Coordination Group,Implementation,Multilateral,Project-type interventions,Loan,60000000,46256044.82,60000000,46256044.82,1369,60000000,46256044.82,37,Asian Development Bank,Asian Development Bank,Ministry of Planning and Finance,Ministry of Electricity and Energy,Ministry of Electricity and Energy,Magway Region - 25.00% | Yangon Region - 25.00% | Mandalay Region - 25.00% | Sagaing Region - 25.00%,,2013-12-01,2018-12-31,2014-03-31,,Mr. Choon Sik Jung,+63 2 632 4444,cjung@adb.org,46004-46390-003-LN3084,True,
MM-FERD-ID1138,Maubin Pyapon Road Rehabilitation Project,"The Maubin Pyapon road section will be reconstructed to 2 lanes with appropriate width shoulders, suitable for all standard highway traffic. The proposed project aims to (i) improve access to and within the Ayeyarwaddy Delta by rehabilitating 52.5 km of road between Maubin and Pyapon, the principal north-south artery on the eastern edge of the Ayeyarwaddy Delta, and (ii) provide an essential transport link connection to economic, health, education, and employment opportunities.","Improvements to the Maubin Pyapon road in the Ayeyarwaddy Delta would dramatically improve connectivity and economic development in the area, lifting many of this poor region of Myanmar out of poverty. It would improve access to this densely populated, poor, but productive agricultural area. Traffic volumes in the area are currently moderate, but are likely to increase rapidly as the country's economic liberalization program extends into the hinderland.",Road transport,Transport and ICT Sector Coordination Group,Implementation,Multilateral,Project-type interventions,Loan,80000000,29525645.35,80000000,29525645.35,1156,80000000,29525645.35,34,Asian Development Bank,Asian Development Bank,Ministry of Planning and Finance,Ministry of Construction,Ministry of Construction,Ayeyarwady Region - 100.00%,Maubin - 50.00% | Pyapon - 50.00%,2015-02-10,2020-04-28,2015-02-10,,Mr. James Leather,+63 2 632 4444,jleather@adb.org,46004-47086-002-LN3199,True,
MM-FERD-ID1210,Greater Mekong Subregion East–West Economic Corridor Eindu to Kawkareik Road Improvement Project (Loan Element),This section of road forms part of the GMS East-West Corridor (EWEC) in Myanmar. Improvements to the road will assist with the growing trade between Myanmar and Thailand by supporting improved connectivity within Kayin State and to Thailand. The project output is the improvement of 66.4km of road between Eindu and Kawkareik.,This section of road forms part of the GMS East-West Corridor (EWEC) in Myanmar. Improvements to the road will assist with the growing trade between Myanmar and Thailand by supporting improved connectivity within Kayin State and to Thailand. The project output is the improvement of 66.4km of road between Eindu and Kawkareik.,Road transport,Transport and ICT Sector Coordination Group,Implementation,Multilateral,Project-type interventions,Loan,100000000,11510823.13,100000000,11510823.13,900,100000000,11510823.13,30,Asian Development Bank,Asian Development Bank,Ministry of Planning and Finance,Ministry of Construction,Ministry of Construction,Kayin State - 100.00%,Kawkareik - 100.00%,2016-04-08,2020-03-31,2016-04-08,,Mr. James Leather,+63 2 632 4444,jleather@adb.org,46004-46422-003-LN3310,True,
GB-1-201239-101,Livelihoods and Food Security Trust Fund for the rural poor and vulnerable in Burma,,,"Social/ welfare services(10.00%),Informal/semi-formal financial intermediaries(15.00%),Agricultural development(50.00%),Small and medium-sized enterprises (SME) development(5.00%),Food aid/Food security programmes(20.00%)",None,Implementation,Bilateral,Project-type interventions,Grant,152000000,42500000,224895896.8,66534112.47,100,224895896.8,66534112.47,10,UK - Department for International Development,UNITED KINGDOM| UK - Department for International Development,UK - Department for International Development,United Nations Office for Project Services,,,,2009-12-31,2015-12-31,2009-12-31,,,+44 (0) 1355 84 3132,enquiry@dfid.gov.uk,,False,
MM-FERD-ID1258,Ayeyarwady Integrated Basin Development Project,,"The program development objective for the Series of Projects (of which the AIRBM will be the first) is to strengthen integrated, climate resilient management and development of the Ayeyarwady River Basin and national water resources. The project development objective of the AIRBM is to contribute to the development of integrated river basin management on the Ayeyarwady River.",Water sector policy and administrative management,Environmental Conservation Sector Coordination Group,Implementation,Multilateral,Budget support,Loan,100000000,21630048,100000000,21630048,529,100000000,21630048,23,World Bank,World Bank,Ministry of Transport and Communication,Ministry of Transport and Communication,Ministry of Transport and Communication,Nation-wide - 100.00%,,2015-03-31,2020-03-31,2015-05-15,,Kyaw Soe Lynn,654824,klynn@worldbank.org,44000-P146482,True,
