SR_PCODE,SR_NAME,TS_PCODE,TS_NAME,EAO_ACRONYM,EAO_NAME
MMR001,Kachin,MMR001001,Myitkyina,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001002,Waingmaw,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001003,Injangyang,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001004,Tanai,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001005,Chipwi,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001006,Tsawlaw,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001007,Mohnyin,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001008,Mogaung,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001009,Hpakant,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001010,Bhamo,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001011,Shwegu,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001012,Momauk,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001013,Mansi,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001014,Puta-O,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001015,Sumprabum,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR001,Kachin,MMR001016,Machanbaw,KIO/KIA,Kachin Independence Organization/Kachin Independence Army
MMR002,Kayah,MMR002001,Loikaw,KNPP/KA,Karenni National Progressive Party/Karenni Army
MMR002,Kayah,MMR002002,Demoso,KNPP/KA,Karenni National Progressive Party/Karenni Army
MMR002,Kayah,MMR002003,Hpruso,KNPP/KA,Karenni National Progressive Party/Karenni Army
MMR002,Kayah,MMR002004,Shadaw,KNPP/KA,Karenni National Progressive Party/Karenni Army
MMR002,Kayah,MMR002005,Bawlakhe,KNPP/KA,Karenni National Progressive Party/Karenni Army
MMR002,Kayah,MMR002006,Hpasawng,KNPP/KA,Karenni National Progressive Party/Karenni Army
MMR002,Kayah,MMR002007,Mese,KNPP/KA,Karenni National Progressive Party/Karenni Army
MMR003,Kayin,MMR003001,Hpa-An,KNU/KNLA,Karen National Union/Karen National Liberation Army
MMR003,Kayin,MMR003001,Hpa-An,NMSP/MNLA,New Mon State Party/Mon National Liberation Army
MMR003,Kayin,MMR003002,Hlaingbwe,KNU/KNLA,Karen National Union/Karen National Liberation Army
MMR003,Kayin,MMR003002,Hlaingbwe,DKBA,Democratic Karen Benevolent Army
MMR003,Kayin,MMR003002,Hlaingbwe,KPC,KNU/KNLA Peace Council
MMR003,Kayin,MMR003003,Hpapun,KNU/KNLA,Karen National Union/Karen National Liberation Army
MMR003,Kayin,MMR003003,Hpapun,ABSDF,All Burma Students Democratic Front
