TS Pcode,Number of Armed Groups
MMR001001,1
MMR001002,1
MMR001003,1
MMR001004,1
MMR001005,1
MMR001006,1
MMR001007,1
MMR001008,1
MMR001009,1
MMR001010,1
MMR001011,1
MMR001012,1
MMR001013,1
MMR001014,1
MMR001015,1
MMR001016,1
MMR002001,1
MMR002002,1
MMR002003,1
MMR002004,1
MMR002005,1
MMR002006,1
MMR002007,1
MMR003001,2
MMR003002,3
MMR003003,2
MMR003004,2
MMR003005,2
MMR003006,4
MMR003007,3
MMR004003,1
MMR004004,1
MMR004007,1
MMR004009,1
MMR005033,1
MMR005035,1
MMR005036,1
MMR005037,1
MMR006001,2
MMR006002,2
MMR006003,1
MMR006004,2
MMR006005,1
MMR006006,1
MMR006007,1
MMR006008,1
MMR006009,1
MMR006010,1
MMR007005,2
MMR007008,2
MMR007009,1
MMR007011,2
MMR007014,1
MMR010011,1
MMR011001,1
MMR011002,2
MMR011003,1
MMR011004,2
MMR011005,1
MMR011006,2
MMR011007,2
MMR011008,1
MMR011009,1
MMR011010,1
MMR012003,1
MMR012004,2
MMR012005,1
MMR012009,1
MMR014001,1
MMR014003,3
MMR014004,2
MMR014008,1
MMR014011,1
MMR014012,2
MMR014013,1
MMR014014,1
MMR014015,1
MMR014016,2
MMR014017,2
MMR014018,1
MMR014019,1
MMR014020,2
MMR014021,1
MMR015001,3
MMR015002,3
MMR015003,1
MMR015004,2
MMR015005,1
MMR015006,1
MMR015007,1
MMR015008,1
MMR015009,3
MMR015010,4
MMR015011,4
MMR015012,3
MMR015014,3
MMR015015,3
MMR015016,2
MMR015017,3
MMR015018,3
MMR015019,4
MMR015020,4
MMR015021,1
MMR015022,1
MMR015023,1
MMR015024,2
MMR016001,2
MMR016002,1
MMR016003,1
MMR016005,2
MMR016006,3
MMR016007,1
MMR016008,3
MMR016009,2
MMR016010,2
MMR016011,3
