,Hydropower Plant,Status,LAT N,LON E,State/Region,District,Township,Village,Basin,Sub-Basin (HP Chapter),Sub-Basin (GIS Maps),River/ Watershed,Developer,Country,Investment by,Installed Capacity (MW),Myanmar Selfuse (MW),Export (MW),Export to,Estimated No. Construction Workers (planned projects),Year_Simplified
0,Baluchaung 1,Built,19.648,97.287,Kayah,Loikaw,Loikaw,,Thanlwin,Nam Pawn,Baluchaung,Baluchaung,MoEE,Myanmar,Sole Investment ,28.0,28.0,0.0,,,1992.0
1,Baluchaung 2,Built,19.5569999999999,97.358,Kayah,Loikaw,Loikaw,,Thanlwin,Nam Pawn,Baluchaung,Baluchaung,MoEE,Myanmar,Sole Investment,168.0,168.0,0.0,,,1974.0
2,Baluchaung 3,Built,19.5459999999999,97.397,Kayah,Loikaw,Loikaw,,Thanlwin,Nam Pawn,Baluchaung,Baluchaung,Future Energy,Myanmar,Local BOT,52.0,52.0,0.0,,,2014.0
3,Baluchaung (upper),Construction,20.484592,96.781918,Shan,Taunggyi,Pin Laung,Indein,Thanlwin,Nam Pawn,Baluchaung,Baluchaung,NeoEnergy Oasis,Myanmar,Local BOT,30.0,30.0,0.0,,,2019.0
4,Bawgata,LocMoU,18.255561,96.8484959999999,Bago,Taungoo,Kyauk Gyi,,Sittaung,Bawgata,Bawgata,Bawgata,Thoolei,Myanmar,Local BOT,160.0,160.0,0.0,,700.0,2020.0
5,Belin,LocMoU,17.5197229999999,97.2435459999999,Mon,Thaton,Bilin,,Bilin,Bilin,Bilin,Bilin River,HCDG,Myanmar,Local BOT,280.0,280.0,0.0,,1100.0,2021.0
6,Buywa (upper),GOM Plan,20.76609,94.0818,Magway,Minbu,Setotaya,,Ayeyarwady,Mone Chaung,Mone Chaung,Mon Chaung,MOALI,Myanmar,Sole Investment ,150.0,150.0,0.0,,600.0,2019.0
7,Buywa,Construction,20.6580559999999,94.150833,Magway,Minbu,Setotaya,,Ayeyarwady,Mone Chaung,Mone Chaung,Mon Chaung,MOALI,Myanmar,Sole Investment ,42.0,42.0,0.0,,,2018.0
8,Chipwi,JVA,25.8904999999999,98.12572,Kachin,Myitkyina,Chipwi,Chipwi,Ayeyarwady,Ayeyarwady Headwaters,Nmae Hka,N'Mai  Hka,CPI,PRC,Foreign JV/BOT,3400.0,340.0,1700.0,PRC,10700.0,2020.0
9,Chipwi Nge,Built,25.806073,98.1840389999999,Kachin,Myitkyina,Chipwi,Chipwi,Ayeyarwady,Ayeyarwady Headwaters,Nmae Hka,Chipwi Hka,SPIC,PRC,Foreign JV/BOT,99.0,20.0,79.0,,,2013.0
10,Dapein 1,Built,24.421451,97.525448,Kachin,Bhamo,Bhamo,,Ayeyarwady,Dapein,Dapein,Dapein,China Datang,PRC,Foreign JV/BOT,240.0,19.0,221.0,PRC,,2011.0
