Sr,,,Foreign,1988-89,,,,,,,,,,,2018-2019,
"",,Country,Capital to  be,to,2011-12,2012-2013,,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018,,(As of,
No,,,brought in,2010-2011,,,,,,,,,(4 to 9),,31/12/2018),
1,Australia,,145.799,82.080,,,,17.696,,29.733,16.290,,,,,
2,Austria,,74.365,72.500,,,,,,,,,1.865,,,
3,Bangladesh,,7.890,2.957,,,,,,2.356,1.077,1.500,,,,
4,Brunei Darussalam,,105.122,2.040,,1,,2.273,43.873,26.483,18.026,8.074,3.355,,,
5,Canada,,203.594,39.781,,2.102,,,153.924,1.277,5.150,1.360,,,,
6,China,,20353.528,9596.791,4345.728,231.773,,56.160,511.415,3323.853,482.591,1395.219,304.732,33,106.265,*
7,Cyprus,,5.250,5.250,,,,,,,,,,,,
8,Denmark,,13.370,13.370,,,,,,,,,,,,
9,France,,549.740,469.000,,,,5.360,67.250,,0.790,7.340,,,,
10,Germany,,32.651,17.500,,,,,3.600,,1.153,10.398,,,,
11,Hong Kong,,7900.472,6308.495,,84.839,,104.004,625.556,225.165,213.700,251.982,67.902,6,23.865,*
12,India,,763.567,189.000,73.000,11.500,,26.040,208.886,224.223,,10.993,19.925,,,
13,Indonesia,,274.530,241.497,,,,,,13.190,9.034,9.859,0.950,,,
14,Israel,,2.400,2.400,,,,,,,,,,,,
15,Japan,,1183.921,211.902,4.318,54.063,,55.711,85.740,219.793,60.423,384.119,134.618,3,13.234,
16,Macau,,8.040,4.400,,,,,,,,3.640,,,,
17,Malaysia,,1963.124,975.097,51.864,4.324,,616.108,6.724,257.221,21.390,21.877,7.340,2,1.179,
18,Mauritius,,39.584,30.575,,,,,9.009,,,,,,,
19,Panama,,55.101,29.101,26.000,,,,,,,,,,,
20,Philippines,,147.173,146.667,,,,,0.506,,,,,,,
21,R.O.K.,,3892.136,2916.913,25.572,37.942,,81.205,299.586,128.091,66.423,253.904,77.009,1,5.710,*
22,Russia Federation,,94.000,94.000,,,,,,,,,,,,
23,Singapore,,20337.703,1804.013,,418.233,,2300.121,4297.185,4251.223,3820.764,2163.963,724.424,8,606.640,*
24,Sri Lanka,,3.500,1.000,,,,,1.250,,,1.250,,,,
25,Switzerland,,32.328,3.382,,,,,27.000,1.695,,,0.271,1,1.970,
26,Thailand,,11124.715,9568.093,,1.3,,529.072,165.679,236.174,423.058,123.858,64.601,2,12.880,
27,The Netherlands,,1531.671,238.835,,10.301,,,302.405,438.025,5.000,533.923,,1,3.182,
28,U.A.E,,147.692,41.000,,,,4.500,1.692,,,100.500,,,,
29,U.K,,4517.663,2659.954,99.831,232.700,,156.864,850.759,75.310,54.320,211.179,174.700,,2.046,*
30,U.S.A,,432.796,243.565,,,,,2.041,2.610,,128.680,55.900,,,
31,Viet Nam,,2161.103,23.649,18.147,329.390,,142.000,175.400,4.676,1386.200,20.806,50.355,1,10.480,
32,Republic of Liberia,,79.201,14.600,,,,,64.601,,,,,,,
33,Luxembourg,,47.277,,,,,5.200,40.150,0.400,,1.527,,,,
34,Laos,,0.883,,,,,0.883,,,,,,,,
35,Sweden,,2.050,,,,,,14.300,,,,,,,
36,Samoa,,133.404,,,,,,30.214,0.450,22.060,38.640,42.040,,,
37,Marshall Island,,12.209,,,,,,4.499,,6.510,1.000,,,0.200,*
38,Norway,,17.800,,,,,,11.800,,,6.000,,,,
39,Qatar,,4.500,,,,,,,4.500,,,,,,
40,South Africa,,1.309,,,,,,,1.309,,,,,,
41,Taiwan,,58.807,,,,,0.760,5.489,8.293,10.458,17.210,8.164,5,8.433,
42,Cook Islands,,1.150,,,,,,,1.150,,,,,,
43,Seychelles,,19.032,,,,,,,1.320,2.980,8.182,4.050,,2.500,*
44,Lebanon,,14.024,,,,,,,,12.980,,,,1.044,*
45,Cambodia,,24.175,,,,,,,,1.675,,22.500,,,
46,New Zealand,,6.950,,,,,,,6.950,,,,,,
47,Afghanistan,,0.653,,,,,,,0.653,,,,,,
48,Ireland,,8.053,,,,,,,,6.950,1.103,,,,
49,Belize,,0.810,,,,,,,,0.810,,,,,
"",,Total,78536.815,36049.407,4644.460,1419.467,,4097.114,8010.533,9486.123,6649.812,5718.086,1764.701,63,799.628,
