Sr,,Foreign,1988-89,,,,,,,,,,
"",,,,,,,,,,,,2018-2019,
"",Sector,Capital to  be,to,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018,,
"",,,,,,,,,,,(4 to 9),(As of 31/12/2018),
No,,brought in,2010-2011,,,,,,,,,,
1,Agriculture,405.621,173.101,,9.650,20.269,39.666,7.180,,134.485,10.650,3 10.620,
2,Livestock & Fisheries,628.990,315.408,,5.6,96.016,26.861,8.250,96.678,27.661,32.955,3 19.561,*
3,Mining,2904.916,2794.463,19.897,15.334,32.730,6.259,28.923,,1.310,6.000,,
4,Manufacturing,10386.054,1738.593,32.254,400.716,1823.882,1502.013,1069.846,1179.514,1769.177,706.677,48 189.559,*
5,Power,21084.852,14523.365,4343.978,364.201,46.511,40.110,360.100,909.883,405.774,92.680,,
6,Oil  and  Gas,22420.572,13815.375,247.697,309.200,,3220.306,4817.790,,,,10.204,*
7,Construction,37.767,37.767,,,,,,,,,,
8,Transport &,9785.256,313.272,0.634,,1190.232,1679.304,1930.996,3081.149,901.639,314.158,2 415.223,
"",Communication,,,,,,,,,,,,
9,Hotel  and  Tourism,3040.684,1064.811,,300.000,435.210,357.949,288.395,403.646,176.767,9.536,1 4.370,*
10,Real Estate,5256.347,1056.453,,,440.573,780.745,728.680,747.620,1261.977,280.380,,
11,Industrial Estate,271.631,193.113,,,,,10.000,,34.037,34.481,,
12,Other Services,2314.125,23.686,,14.766,18.534,357.320,235.963,231.322,1005.259,277.184,6 150.091,*
"",Total,78536.815,36049.407,4644.460,1419.467,4103.957,8010.533,9486.123,6649.812,5718.086,1764.701,63 799.628,
