,Trade Flow,Year,Simplified_Location,Top_Country_or_Other,Is_Extractives,Value_USD
0,Export,2010,Australia and New Zealand,Others,Extractives,379630.0
1,Export,2010,Australia and New Zealand,Others,Non Extractives,6583601.0
2,Export,2010,China,China,Extractives,248524347.0
3,Export,2010,China,China,Non Extractives,227747733.0
4,Export,2010,"China, Hong Kong SAR","China, Hong Kong SAR",Extractives,1597088296.0
5,Export,2010,"China, Hong Kong SAR","China, Hong Kong SAR",Non Extractives,14664485.0
6,Export,2010,Eastern Asia,Others,Extractives,132309.0
7,Export,2010,Eastern Europe,Others,Extractives,35787.0
8,Export,2010,Eastern Europe,Others,Non Extractives,14408095.0
9,Export,2010,India,India,Extractives,351995698.0
10,Export,2010,India,India,Non Extractives,606109716.0
11,Export,2010,Japan,Japan,Extractives,8631602.0
12,Export,2010,Japan,Japan,Non Extractives,206520455.0
13,Export,2010,Latin America and the Caribbean,Others,Extractives,14868.0
14,Export,2010,Latin America and the Caribbean,Others,Non Extractives,11742089.0
15,Export,2010,Malaysia,Malaysia,Extractives,9696912.0
16,Export,2010,Malaysia,Malaysia,Non Extractives,153151429.0
17,Export,2010,N/A,Others,Extractives,5478171933.0
18,Export,2010,N/A,Others,Non Extractives,2147064842.0
19,Export,2010,Northern Africa,Others,Non Extractives,3134230.0
20,Export,2010,Northern America,Others,Non Extractives,1702112.0
21,Export,2010,Northern Europe,Others,Extractives,81725.0
22,Export,2010,Northern Europe,Others,Non Extractives,1403899.0
23,Export,2010,Rep. of Korea,Rep. of Korea,Extractives,1750158.0
24,Export,2010,Rep. of Korea,Rep. of Korea,Non Extractives,123691860.0
25,Export,2010,Singapore,Singapore,Extractives,53994540.0
26,Export,2010,Singapore,Singapore,Non Extractives,222310978.0
27,Export,2010,South-eastern Asia,Others,Extractives,35309309.0
28,Export,2010,South-eastern Asia,Others,Non Extractives,83411030.0
29,Export,2010,Southern Asia,Others,Extractives,52778917.0
30,Export,2010,Southern Asia,Others,Non Extractives,50234189.0
31,Export,2010,Southern Europe,Others,Extractives,67786.0
32,Export,2010,Southern Europe,Others,Non Extractives,30658237.0
33,Export,2010,Sub-Saharan Africa,Others,Non Extractives,105137783.0
34,Export,2010,Thailand,Thailand,Extractives,3115614268.0
35,Export,2010,Thailand,Thailand,Non Extractives,61632500.0
36,Export,2010,United Kingdom,United Kingdom,Extractives,108.0
37,Export,2010,United Kingdom,United Kingdom,Non Extractives,34774485.0
38,Export,2010,Western Asia,Others,Extractives,1980531.0
39,Export,2010,Western Asia,Others,Non Extractives,170729850.0
40,Export,2010,Western Europe,Others,Extractives,64148.0
41,Export,2010,Western Europe,Others,Non Extractives,17203007.0
42,Export,2011,Australia and New Zealand,Others,Extractives,132123.0
43,Export,2011,Australia and New Zealand,Others,Non Extractives,6309925.0
44,Export,2011,China,China,Extractives,726353029.0
45,Export,2011,China,China,Non Extractives,788924384.0
46,Export,2011,"China, Hong Kong SAR","China, Hong Kong SAR",Extractives,546321297.0
47,Export,2011,"China, Hong Kong SAR","China, Hong Kong SAR",Non Extractives,6437076.0
48,Export,2011,Eastern Asia,Others,Non Extractives,80474.0
49,Export,2011,Eastern Europe,Others,Extractives,73465.0
50,Export,2011,Eastern Europe,Others,Non Extractives,47959983.0
51,Export,2011,India,India,Extractives,337757135.0
52,Export,2011,India,India,Non Extractives,591450542.0
53,Export,2011,Japan,Japan,Extractives,17845603.0
54,Export,2011,Japan,Japan,Non Extractives,292163426.0
55,Export,2011,Latin America and the Caribbean,Others,Non Extractives,10966223.0
56,Export,2011,Malaysia,Malaysia,Extractives,3817367.0
57,Export,2011,Malaysia,Malaysia,Non Extractives,186631444.0
58,Export,2011,Melanesia,Others,Non Extractives,375000.0
