Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,6538216,,,4
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,6430730,,,4
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,50,,,4
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,50,,,4
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,21000,,,0
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,86336,,,4
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,50,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,364164905,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,50,Bangladesh,BGD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,666000,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,96,Brunei Darussalam,BRN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,50,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,116,Cambodia,KHM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,50,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,70,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,362951676,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,208,Denmark,DNK,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,50,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,231,Ethiopia,ETH,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,50,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,300,Greece,GRC,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,50,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,225000,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,225,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,579,Norway,NOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,45,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,13478,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,45185,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,710,South Africa,ZAF,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,100,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,261610,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,200,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,788,Tunisia,TUN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,80,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,784,,,4
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,200,,,4
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,6046377,,,0
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,5980952,,,0
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,414,Kuwait,KWT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,51465,,,0
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2619,,,0
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,11340,,,0
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,12643518,,,0
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1133,,,0
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,453,,,0
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,12613832,,,0
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,414,Kuwait,KWT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,6300,,,0
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,4409,,,0
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,12851,,,0
H5,2018,2018,2018,2,0,2,Export,104,Myanmar,MMR,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,4536,,,0
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,0,World,WLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,662237179,,,4
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,4,Afghanistan,AFG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,545,,,0
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,4988483,,,0
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,48,Bahrain,BHR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,2762427,,,0
H5,2017,2017,2017,2,0,2,Export,104,Myanmar,MMR,50,Bangladesh,BGD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,18137758,,,4
