Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,2,0,1,Import,156,China,CHN,104,Myanmar,MMR,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,220000,,,0
H4,2012,2012,2012,2,0,1,Import,764,Thailand,THA,104,Myanmar,MMR,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,13883055,,,0
H4,2013,2013,2013,2,0,1,Import,458,Malaysia,MYS,104,Myanmar,MMR,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,65581,,,0
H4,2013,2013,2013,2,0,1,Import,764,Thailand,THA,104,Myanmar,MMR,,,,,,,,01,Animals; live,1,No Quantity,,,,,,,31888890,,,0
H4,2013,2013,2013,2,0,1,Import,414,Kuwait,KWT,104,Myanmar,MMR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,74815,,,0
H4,2013,2013,2013,2,0,1,Import,480,Mauritius,MUS,104,Myanmar,MMR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,200,,,0
H4,2013,2013,2013,2,0,1,Import,634,Qatar,QAT,104,Myanmar,MMR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,,,,,90813,,,0
H4,2012,2012,2012,2,0,1,Import,36,Australia,AUS,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,8593043,,,0
H4,2012,2012,2012,2,0,1,Import,50,Bangladesh,BGD,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,1110484,,,0
H4,2012,2012,2012,2,0,1,Import,124,Canada,CAN,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,507427,,,0
H4,2012,2012,2012,2,0,1,Import,156,China,CHN,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,59676210,,,0
H4,2012,2012,2012,2,0,1,Import,196,Cyprus,CYP,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,79992,,,0
H4,2012,2012,2012,2,0,1,Import,246,Finland,FIN,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,30888,,,0
H4,2012,2012,2012,2,0,1,Import,300,Greece,GRC,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,132922,,,0
H4,2012,2012,2012,2,0,1,Import,344,"China, Hong Kong SAR",HKG,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,14966622,,,0
H4,2012,2012,2012,2,0,1,Import,352,Iceland,ISL,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,276,,,0
H4,2012,2012,2012,2,0,1,Import,360,Indonesia,IDN,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,185716,,,0
H4,2012,2012,2012,2,0,1,Import,376,Israel,ISR,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,1000,,,0
H4,2012,2012,2012,2,0,1,Import,381,Italy,ITA,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,1734523,,,0
H4,2012,2012,2012,2,0,1,Import,392,Japan,JPN,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,72536931,,,0
H4,2012,2012,2012,2,0,1,Import,400,Jordan,JOR,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,125454,,,0
H4,2012,2012,2012,2,0,1,Import,410,Rep. of Korea,KOR,104,Myanmar,MMR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,,,,,2547053,,,0
