"By Classification(1)","By Classification(2)","1985","1990","1995","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017 (p)"
"SOUTH EAST ASIA","","742.4","205.11","374.44","1932.32","513.11","7694.42","8922.88","6265.3","1604.79","1833.97","2791.29","3504.96","3853.71","4158.84","3930.84","4676.69","4529.69","5297.53","5233.79","3985.4","3091.64","4097.43"
"SOUTH EAST ASIA","Singapore","353.3","136.08","175.49","812.92","113.51","1099.54","881.95","785.99","141.83","262.85","182.59","400.56","832.75","670.41","456.99","542.75","291.35","694.03","758.83(r)","725.43","472.84","753.5"
"SOUTH EAST ASIA","Malaysia","92.91","6.58","26.22","335.12","72.54","785.21","485.41","412.01","108.57","92.9","88.47","119.03","311.69","152.61","437.8","152.04","97.92","108.87","265.17(r)","161.32","159.01","222.55"
"SOUTH EAST ASIA","Indonesia","0.2","-","53.27","188.46","34.11","343.57","363.22","233.51","53.72","65.36","88.23","86.58","28.45","37.43","41.11","40.94","31.54","60.04","86.09","139.84","125.05","123.91"
"SOUTH EAST ASIA","Philippines","0.24","0.03","23.67","13.22","5.82","28.14","48.5","78.91","12.13","12.58","10.28","7.66","8.99","27.21","22.3","34.32","26.02","12.25","12.93","8.23","40.98","19.92"
"SOUTH EAST ASIA","Thailand","134.67","62.42","95.14","552.54","281.95","5391.81","7095.55","4676.11","1270.62","1360.95","2362.44","2809.65","2631.23","3215.68","2905.18","3823.83","4000.57","4306.28","4028.69","2893.18","2202.24","2846.41"
"SOUTH EAST ASIA","Vietnam,Socialist Rep.of","146.43","-","0.17","26.44","4.54","21.15","31.79","71.36","16.63","38.46","58.23","80.19","39.58","54.75","67.03","81.09","81.24","111.16","80.21","56.67","88.25","127.51"
"SOUTH EAST ASIA","Lao","-","-","-","0.52","0.43","20.67","3.71","1.77","0.04","0.02","0.01","0.07","0.04","#","0.02","0.03","0.15","0.39","0.68","0.4","0.04","0.08"
"SOUTH EAST ASIA","Cambodia","14.65","-","0.2","-","-","-","-","-","-","-","-","-","-","-","0.04","0.36","-","0.23","0.46","0.01","2.65","3.34"
"SOUTH EAST ASIA","Brunei","-","-","0.28","3.1","0.21","4.33","12.75","5.64","1.25","0.85","1.04","1.22","0.98","0.75","0.37","1.33","0.9","4.28","0.73","0.32","0.58","0.21"
